payer,lob,policy_id,version_date,sha256,filename,source_url,gcs_uri,md5,crc32c
UHC,Commercial,UHC-PA-CHANGES,10/1/2025,640a696150fc40f42fa45b0466ccbea8784aa0c0814d6a8e2c45c178c1766c02,2025-Summary-of-Changes-AdvNotice-and-PriorAuth.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/2025-Summary-of-Changes-AdvNotice-and-PriorAuth.pdf,jzGG1KAvfTCKmYCw4d2S3A==,7Ixn9Q==
UHC,Commercial,UHC-MED-MSK-ABLATION,8/1/2025,4f35ef8383bf5208faad72424f841967564706565b27f864b36ce37dad5abcb0,ablative-treatment-spinal-pain-8-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/ablative-treatment-spinal-pain-8-1-2025.pdf,+gMdXIaCzI/g1+Q/WItU+g==,0T2NjA==
UHC,Commercial,UHC-MED-GYN-AUB,10/1/2025,3e1c0bb403e024adad780b84293085f8ad76ccff31fcc605f171f937dba1b893,abnormal-uterine-bleeding-uterine-fibroids-10-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/abnormal-uterine-bleeding-uterine-fibroids-10-1-2025.pdf,bafYDM48l70wK/RmPMMlzw==,KaptAg==
UHC,Commercial,UHC-MED-DME-REPAIR-REPLACE,8/1/2025,b5188dd5d6339f3216a75a22e5a91ac871638545a40a513c53a8e186921df88c,dme-equipment-orthotics-ostomy-medical-supplies-repairs-replacements-8-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/dme-equipment-orthotics-ostomy-medical-supplies-repairs-replacements-8-1-2025.pdf,q5m95YGl1AQ0qvQ/VAIIRw==,oMJyCA==
UHC,Commercial,UHC-MED-GENETICS-CARDIAC,10/1/2025,5bb84406712d8cdc74ab85cbb8044c471e660316c77bc135d5ae76c2b62fe9bf,genetic-testing-cardiac-disease-10-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/genetic-testing-cardiac-disease-10-1-2025.pdf,PDk66R+R4eBoPI24hikRBg==,VXbZoA==
UHC,Commercial,UHC-DRUG-LEQVIO,10/1/2025,fc2515ad457c9f30189f5a7f34e87ba29399738957af6d878bb5731e07ba1430,leqvio-10-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/leqvio-10-1-2025.pdf,EyPHt9IWKutGqDSJ1/Wiew==,stiIAQ==
UHC,Commercial,UHC-MED-IMAGING-SOS-MRI-CT,9/1/2025,702a799ed05d07ce7d4eed6d13c973463d484ee7ee8b501580bb04521320ce8b,mri-ct-scan-site-of-service-9-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/mri-ct-scan-site-of-service-9-1-2025.pdf,sWU+G06kjHsV47NIUPL8sQ==,KIDOgA==
UHC,Commercial,UHC-MED-PREVENTIVE,10/1/2025,c6af5cbadb6b90c00a328b2f4e3c8e846518c7dbe8613ebd27d75cdde6e01fd9,preventive-care-services-10-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/preventive-care-services-10-1-2025.pdf,pkSC3+VslSQJgBIk60pO6w==,AqLTvg==
UHC,Commercial,UHC-DRUG-RITUXIMAB,10/1/2025,2c38d34287b621f85349e76439b2a3252e9d3fe931ff18fefeaefb5b2b055f53,rituxan-rituximab-10-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/rituxan-rituximab-10-1-2025.pdf,1P3VCYzL4VucWUqp+hSUtA==,DopBEQ==
UHC,Commercial,UHC-PA-COMM,1/1/2025,cab73ce5e28bb3bb67721ba273e8b41d792225496125eb08b046699b664a3578,UHC-Commercial-Advance-Notification-PA-Requirements-1-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/UHC-Commercial-Advance-Notification-PA-Requirements-1-1-2025.pdf,rIq6D2kgbMfgLWwG8rqf5w==,0pIfbA==
UHC,Commercial,UHC-PA-COMM,10/1/2025,5b447984f932c2916170e0ac2b828b97885d0d7c8fb19eec3c3bd9cb0dbe0076,UHC-Commercial-Advance-Notification-PA-Requirements-10-1-2025.pdf,,gs://uhc-change-intel-bucket/uhc/commercial/UHC-Commercial-Advance-Notification-PA-Requirements-10-1-2025.pdf,o8ZNSZJ73HKw/E8nbMzirA==,PV7i2Q==
